id,name,birth_year,birth_city,profession,bio_text
9422,Корчова Олена Олександрівна,1964.0,м. Кривий Ріг Дніпроп. обл.,музикознавець,"(03. 08. 1964, м. Кривий Ріг Дніпроп. обл.) – музикознавець, педагог. Дружина В. Корчового. Канд. мистецтвознавства (2004), доцент (2006). Член НСКУ (2012). Закін. Київську консерваторію (1990; кл. Т. Гнатів) та..."
9423,Корчовий Василь Іванович,1962.0,с. Божиківці Деражнян. р-ну Хмельн. обл.,скульптор,"(23. 05. 1962, с. Божиківці Деражнян. р-ну Хмельн. обл.) – скульптор. Чоло­­вік О. Корчової. Заслужений художник України (2013). Ґран-Прі Всеукр. трієнале скульптури (Київ, 2005). Член НСХУ (1989). Закін...."
9425,Коршунов Владислав Миколайович,1971.0,Миколаїв,композитор,"(05. 03. 1971, Миколаїв) – композитор, педагог. Член НСКУ (2012). Закін. Микол. муз. училище (1991; кл. контрабаса М. Соло­­в­йова), Микол. філію Київ. інституту культури (1996; кл. диригування О. Присенка, В...."
9426,Коршунова Анна,1970.0,"Кіровоград, нині Кропивницький",письменниця,"(Шевченко Ганна Євгенівна; 29. 05. 1970, Кіровоград, нині Кропивницький) — письменниця. Членкиня НСПУ (2013). Кандидат географічних наук (2013). Переможець літературних конкурсів «Просто так» (2012),..."
9427,Корягін Микола Іванович,1953.0,"ст. Біла Глина Краснодар. краю, РФ",живописець,"(15. 02. 1953, ст. Біла Глина Краснодар. краю, РФ) – живописець, графік, кераміст. Член НСХУ (2000). Закін. Харків. худож.-пром. інститут (1986; викл. В. Бондаренко, В. Гонтаров, Є. Єгоров). Працював на..."
9431,Кос Ганна Іванівна,1940.0,Львів,мистецтвознавець,"(07. 12. 1940, Львів) – мистецтвознавець. Кандидат історичних наук (1992). Член НСХУ (1993). Закін. Львівський університет (1965). Працювала від 1966 н. с. у Музеї історії релігії (Львів); 1976–95 – старший..."
9432,Кос Орест Тимофійович,1964.0,м. Стрий Львів. обл.,архітектор,"(03. 04. 1964, м. Стрий Львів. обл.) – архітектор. Член НСАУ (1996). Державна премія України у галузі архітектури (2002). Закін. Львів. політех. інститут (1986). Відтоді працю­­вав у Івано-Фр. філії інституту..."
9433,Косаковська-Шимоняк Євгенія Іванівна,1942.0,"с. Юрково Перемишл. воєводства, Польща",художниця декоративного скла,"(20. 10. 1942, с. Юрково Перемишл. воєводства, Польща) – художниця декоративного скла. Заслужений художник України (2009). Член НСХУ (1976), Міжнар. спілки худож. скла (2002). Закін. Львів. інститут..."
9434,Косановська Ліліана Романівна,1970.0,Львів,поетеса,"(18. 08. 1970, Львів) – поетеса. Член НСПУ (1997). Закін. Львів. мед. інститут (1993). Пра­­цює за фахом у Львові. Дебютувала добіркою поезій «Еле­­гії» в г. «Літературний Львів» (1993, № 5). Поезія К. –..."
9436,Косарева Надія Борисівна,1947.0,Львів,художниця театру,"(01. 02. 1947, Львів) – художниця театру. Доч­ка Б. Косарева. Член НСХУ (1978). Закін. Харків. худож. інститут (1965; викл. М. Зубар, П. Шигимага), Ленінгр. інститут театру, музики та кінематографії (нині..."
9439,Косаревська Анна Олександрівна,1986.0,Херсон,живописець,"(26. 09. 1986, Херсон) – живописець, гра­­фік. Лауреатка 6-го Міжнар. бі­­є­­нале рисунку (м. Мельбурн, Австралія, 2011). Член НСХУ (2012). Закін. Держ. академію керів. кад­рів культури та мистецтв (Київ,..."
9441,Косаревський Костянтин Іванович,1955.0,Київ,живописець,"(04. 08. 1955, Київ) – живописець. Син Івана та Анастасії Косаревсь­­ких. Орден «За заслуги» 3-го ступеня (2008). Член НСХУ (1988). Закін. Київський художній інститут (1979; викл. М. Стороженко, В. Чеканюк). На..."
9442,Косатий Олексій Миколайович,1974.0,Тернопіль,живописець,"(08. 11. 1974, Тернопіль) – живописець. Лау­реат міжнар. мист. виставки «Високий Замок» (Львів, 2006). Член НСХУ (2005). Закін. Держ. університет «Львівська політехніка» (1997). Відтоді – на творчій роботі...."
9446,Косенко Валерій Віталійович,1963.0,смт Володарськ-Волинський Житомир. обл.,письменник,"(05. 12. 1963, смт Володарськ-Волинський Житомир. обл.) – письменник, видавець, журналіст. Член НСЖУ (1988). Закін. Київський університет (1991). Працює у Житомирі: від 1984 – бібліотекар, в. о. відп. секр. г...."
9448,Косенко Жанна Михайлівна,1946.0,Київ,архітектор,"(11. 04. 1946, Київ) – архітектор. Дружи­­на Ю. Косенка. Державна премія України у галузі архітектури (1997). Закін. Київ. інж.-буд. інститут (1970). Працювала 1971–2011 в Укр. зо­­нал. НДПІ цивіл. будівництва..."
9455,Косигін Леонід Іванович,1941.0,м. Кривий Ріг Дніпроп. обл.,художник декоративно-ужиткового мистецтва,"(04. 05. 1941, м. Кривий Ріг Дніпроп. обл.) – художник декоративно-ужиткового мистецтва, живописець. Член НСХУ (1992). Закін. Одес. пед. інститут (1974; викл. О. Письмиченко). На творчій роботі. Автор..."
9457,Косинський Жорж Хрисанфович,1937.0,"с. Михайлівка, нині смт Запоріз. обл.",хоровий диригент,"(25. 04. 1937, с. Михайлівка, нині смт Запоріз. обл.) – хоровий диригент, педагог. Професор (1991). Заслужений артист Молдови (1991). Лауреат всесоюз. і респ. фестивалів та міжнар. конкурсів. Закін. Одес...."
9459,Косів Василь Михайлович,1973.0,Львів,графік,"(27. 07. 1973, Львів) – графік. Син М. Ко­­сіва. Канд. мистецтво­знав­ства (2003). Закін. Львів. АМ (1998; викл. В. Паньків, М. Яців), де відтоді й працює: від 2003 – завідувач кафедри графіч. дизайну. Дизайнер..."
9460,Косів Михайло Васильович,1934.0,"с. Вiльхiвка, нині Рож­­ня­­тiв. р-ну Iвано-Фр. обл.",письменник,"(28. 12. 1934, с. Вiльхiвка, нині Рож­­ня­­тiв. р-ну Iвано-Фр. обл.) – письменник, учасник опозиційного руху, громадсько-політичний ді­­яч. Батько В. Косіва. Народний депутат України (1990–94, 1994–98,..."
