name,birth_year,death_year,migration_status,profession_raw,birth_location,gender,duration,event_observed,cohort,implausibly_alive,likely_post_soviet_emigrant
Аврущенко Володимир  Ізраїлович,1908.0,1941.0,non_migrated,поет,,male,33.0,1,dead,False,False
Агнон Шмуель  Йосеф,1888.0,1970.0,migrated,письменник,,male,82.0,1,dead,False,False
Адашев Олександр  Іванович,1871.0,1934.0,internal_transfer,актор,,male,63.0,1,dead,False,False
Адмоні Йоганн Григорович,1906.0,1979.0,internal_transfer,композитор,,male,73.0,1,dead,False,False
Андрійчук Михайло Миколайович,1894.0,1938.0,migrated,письменник,,male,44.0,1,dead,False,False
Антохій Мирослав  Олексійович,1920.0,1997.0,migrated,літературознавець,,male,77.0,1,dead,False,False
Архій Йосип Іванович,1920.0,1996.0,non_migrated,поет,,male,76.0,1,dead,False,False
Атаманюк Василь Іванович,1887.0,1940.0,deported,поет,,male,53.0,1,dead,False,False
Атаманюк Михайло Іванович,1888.0,1939.0,non_migrated,письменник,,male,51.0,1,dead,False,False
Бажанський Іван Миколайович,1863.0,1933.0,non_migrated,письменник,,male,70.0,1,dead,False,False
Байрак Ярема,1913.0,1944.0,migrated,поет,,female,31.0,1,dead,False,False
Бакланов Георгій Андрійович,1880.0,1938.0,migrated,співак (баритон),,male,58.0,1,dead,False,False
Балтарович Володимир,1904.0,1968.0,migrated,композитор,,male,64.0,1,dead,False,False
Бандурак Володимир Юрійович,1915.0,1982.0,non_migrated,письменник,,male,67.0,1,dead,False,False
Бандуренко Євген Федорович,1919.0,1972.0,non_migrated,поет,,male,53.0,1,dead,False,False
Барагура Володимир Іванович,1910.0,2000.0,migrated,письменник,,male,90.0,1,dead,False,False
Батіг Іван,1872.0,1923.0,migrated,актор,,male,51.0,1,dead,False,False
Бачило Алесь,1918.0,1983.0,internal_transfer,білоруський поет,,male,65.0,1,dead,False,False
Бачинський Леонід Васильович,1896.0,1989.0,migrated,громадський і культурний діяч,,male,93.0,1,dead,False,False
Бен-Аммі Мордехай,1854.0,1932.0,migrated,прозаїк,,male,78.0,1,dead,False,False
Бережан Зиновій,1920.0,1968.0,migrated,письменник,,male,48.0,1,dead,False,False
Берізка Галина,1920.0,2007.0,non_migrated,письменниця,,female,87.0,1,dead,False,False
Бірецька Оксана Лонгинівна,1890.0,1959.0,non_migrated,піаністка,,female,69.0,1,dead,False,False
Блавацький Володимир Іванович,1900.0,1953.0,migrated,актор,,male,53.0,1,dead,False,False
Блакитний Василь Михайлович,1893.0,1925.0,non_migrated,письменник,,male,32.0,1,dead,False,False
Блондер Саша,1909.0,1949.0,migrated,живописець,,female,40.0,1,dead,False,False
Бобикевич Остап Олексійович,1889.0,1970.0,migrated,піаніст,,male,81.0,1,dead,False,False
Бобикевич-Сора Клавдія Ізидорівна,1896.0,1971.0,migrated,письменниця і громадсько-культурна діячка,,female,75.0,1,dead,False,False
Бобрицький Володимир Васильович,1898.0,1986.0,migrated,графік,,male,88.0,1,dead,False,False
Боднарчук Василь Степанович,1894.0,1955.0,non_migrated,поет,,male,61.0,1,dead,False,False
Боєслав Марко,1910.0,1952.0,non_migrated,письменник,,male,42.0,1,dead,False,False
Божук Миколая,1907.0,1938.0,non_migrated,поетеса,,female,31.0,1,dead,False,False
Бойко Юрій Гаврилович,1909.0,2002.0,migrated,літературознавець,,male,93.0,1,dead,False,False
Болат Юсуф,1909.0,1986.0,internal_transfer,кримськотатарський письменник,,male,77.0,1,dead,False,False
Болехівський-Боян Петро,1910.0,1995.0,migrated,оперний співак (баритон),,male,85.0,1,dead,False,False
Бонкало Шандор (Олександр) Олександрович,1880.0,1959.0,migrated,літературознавець,,male,79.0,1,dead,False,False
Бора Богдан,1920.0,1997.0,migrated,поет,,male,77.0,1,dead,False,False
Борецький Адальберт Адальбертович,1910.0,1990.0,migrated,живописець,,male,80.0,1,dead,False,False
Будяк Юрій Якович,1879.0,1943.0,non_migrated,письменник,,male,64.0,1,dead,False,False
Булганакли Гафар,1905.0,1987.0,internal_transfer,кримськотатарський поет,,male,82.0,1,dead,False,False
Буряковський Аркадій  Мойсейович,1920.0,1999.0,migrated,актор,,male,79.0,1,dead,False,False
Бутович Микола  Григорович,1895.0,1961.0,migrated,графік,,male,66.0,1,dead,False,False
Вавринчик Іван,1913.0,1993.0,migrated,український письменник,,male,80.0,1,dead,False,False
Вайсман Григорій Зиновійович,1871.0,1943.0,internal_transfer,актор,,male,72.0,1,dead,False,False
Вакар Володимир Вікторович,1878.0,1926.0,non_migrated,правознавець і публіцист,,male,48.0,1,dead,False,False
Валицька Марта Генріхівна,1881.0,1955.0,internal_transfer,співачка (сопрано),,female,74.0,1,dead,False,False
Валукінський Микола Васильович,1886.0,1950.0,deported,художник,,male,64.0,1,dead,False,False
Ванченко Петро Захарович,1898.0,1937.0,deported,письменник,,male,39.0,1,dead,False,False
Ванченко-Писанецький Костянтин Іполитович,1863.0,1928.0,internal_transfer,драматург,,male,65.0,1,dead,False,False
Варавва Олекса Петрович,1882.0,1967.0,migrated,письменник,,male,85.0,1,dead,False,False
Васильченко Степан Васильович,1878.0,1932.0,non_migrated,письменник,,male,54.0,1,dead,False,False
Ващук-Ващин Сергій Юхимович,1884.0,1962.0,internal_transfer,актор,,male,78.0,1,dead,False,False
Веретенченко Олекса Андрійович,1918.0,1993.0,migrated,поет,,male,75.0,1,dead,False,False
Верещагін Роман Іванович,1910.0,1985.0,non_migrated,композитор,,male,75.0,1,dead,False,False
Вертов Дзиґа,1895.0,1954.0,internal_transfer,кінорежисер,,female,59.0,1,dead,False,False
Верховинець Василь Миколайович,1880.0,1938.0,non_migrated,композитор,,male,58.0,1,dead,False,False
Верховинець Осип Миколайович,1900.0,1938.0,deported,хоровий диригент,,male,38.0,1,dead,False,False
Верховинка Леся,1903.0,1936.0,non_migrated,письменниця,,female,33.0,1,dead,False,False
Виломовський Едвард,1898.0,1935.0,non_migrated,перекладач,,male,37.0,1,dead,False,False
Винницька Ірина,1906.0,1990.0,migrated,письменниця,,female,84.0,1,dead,False,False
Винниченко-Мозгова Євгенія,1908.0,1988.0,migrated,оперна й концертно-камерна співачка (сопрано),,female,80.0,1,dead,False,False
Вислоцький Дмитро  Федорович,1888.0,1968.0,non_migrated,громадсько-культурний діяч,,male,80.0,1,dead,False,False
Вихров Володимир  Семенович,1910.0,1978.0,non_migrated,літературознавець,,male,68.0,1,dead,False,False
Вишневий Григорій Петрович,1919.0,2007.0,migrated,поет,,male,88.0,1,dead,False,False
Віконська Дарія,1893.0,1945.0,migrated,письменниця,,female,52.0,1,dead,False,False
Вільде Ірина,1907.0,1982.0,non_migrated,письменниця,,female,75.0,1,dead,False,False
Вільшина Остап,1899.0,1924.0,non_migrated,поет,,male,25.0,1,dead,False,False
Влодарський Марк,1903.0,1960.0,migrated,живописець,,male,57.0,1,dead,False,False
Волинський Леонід   Наумович,1912.0,1969.0,internal_transfer,художник театру,,male,57.0,1,dead,False,False
Володимир Р.,1920.0,2007.0,migrated,письменник,,male,87.0,1,dead,False,False
Воронець-Монтвід Катерина Дмитрівна,1883.0,1955.0,migrated,співачка (лірико-драматичне сопрано),,female,72.0,1,dead,False,False
Вражливий Василь Якович,1903.0,1937.0,non_migrated,письменник і перекладач,,male,34.0,1,dead,False,False
Гаєк Андрій Микитович,1873.0,1949.0,migrated,співак (тенор),,male,76.0,1,dead,False,False
Газданов Гайто,1903.0,1971.0,migrated,письменник,,male,68.0,1,dead,False,False
Гай-Головко Олекса Несторович,1910.0,2006.0,migrated,письменник,,male,96.0,1,dead,False,False
Гайворонський Михайло,1892.0,1949.0,migrated,композитор,,male,57.0,1,dead,False,False
Гайдарівський Василь Андрійович,1908.0,1972.0,migrated,письменник,,male,64.0,1,dead,False,False
Гаско Мечислав Едмундович,1907.0,1996.0,non_migrated,письменник,,male,89.0,1,dead,False,False
Ґерета Петро  Федорович,1902.0,1974.0,non_migrated,культурний діяч,,male,72.0,1,dead,False,False
Гехтер Максим Григорович,1885.0,1947.0,migrated,публіцист,,male,62.0,1,dead,False,False
Гірайбай Амді,1901.0,1930.0,non_migrated,кримськотатарський поет,,unknown,29.0,1,dead,False,False
Глазуненко Степан Олександрович,1869.0,1934.0,internal_transfer,актор,,male,65.0,1,dead,False,False
