=== Cox PH Model — Right-Censored (N=15053) ===

MODEL 1 (Unadjusted)

MODEL 2 (Adjusted)

SCHOENFELD TEST
                        test_statistic             p   -log2(p)
bd_1820.0                     2.948971  8.593225e-02   3.540657
bd_1830.0                     5.974224  1.451647e-02   6.106166
bd_1840.0                     3.850262  4.973822e-02   4.329501
bd_1850.0                     6.371874  1.159431e-02   6.430439
bd_1860.0                     1.652043  1.986811e-01   2.331473
bd_1870.0                     0.009013  9.243653e-01   0.113465
bd_1880.0                     1.494140  2.215752e-01   2.174131
bd_1890.0                     0.070941  7.899711e-01   0.340128
bd_1900.0                     0.554868  4.563353e-01   1.131834
bd_1910.0                    23.015877  1.606690e-06  19.247477
bd_1920.0                     4.913206  2.665212e-02   5.229606
bd_1930.0                    16.503209  4.856781e-05  14.329640
bd_1940.0                     7.133199  7.566959e-03   7.046071
bd_1950.0                     0.497701  4.805119e-01   1.057356
bd_1960.0                     4.937818  2.627518e-02   5.250155
bd_1970.0                     1.058692  3.035136e-01   1.720167
bd_1980.0                     0.308024  5.788950e-01   0.788626
bd_1990.0                     0.622293  4.301964e-01   1.216933
bd_2000.0                     0.000325  9.856145e-01   0.020905
mig_deported                109.726566  1.124842e-25  82.878480
mig_internal_transfer         3.373580  6.624964e-02   3.915944
mig_migrated                  6.503950  1.076351e-02   6.537707
prof_актор                    0.206056  6.498766e-01   0.621762
prof_архітектор               3.603442  5.766008e-02   4.116283
prof_графік                   2.466851  1.162707e-01   3.104441
prof_диригент                 0.072139  7.882475e-01   0.343279
prof_живописець               0.147910  7.005405e-01   0.513460
prof_композитор               0.024346  8.760072e-01   0.190985
prof_літературознавець        8.312933  3.936377e-03   7.988916
prof_мистецтвознавець         0.294960  5.870593e-01   0.768422
prof_письменник               0.155347  6.934772e-01   0.528080
prof_письменниця              3.182236  7.444280e-02   3.747724
prof_поет                    14.107428  1.726606e-04  12.499773
prof_поетеса                  1.222668  2.688376e-01   1.895193
prof_прозаїк                  1.622068  2.028036e-01   2.301845
prof_режисер                  0.085839  7.695345e-01   0.377942
prof_скульптор                0.015129  9.021075e-01   0.148629
reg_unknown                   1.206860  2.719548e-01   1.878561
reg_Вінниця                   0.087255  7.676967e-01   0.381392
reg_Дніпропетр                1.718428  1.898955e-01   2.396722
reg_Житомир                   0.022543  8.806520e-01   0.183356
reg_Запоріжжя                 1.004071  3.163275e-01   1.660509
reg_Київ                      0.943168  3.314646e-01   1.593073
reg_Львів                     2.498926  1.139240e-01   3.133856
reg_Миколаїв                  0.000805  9.773630e-01   0.033034
reg_Москва                    0.003686  9.515895e-01   0.071589
reg_Одеса                     1.418430  2.336620e-01   2.097505
reg_Полтава                   2.210877  1.370407e-01   2.867324
reg_Сімферопол                0.005212  9.424481e-01   0.085515
reg_Тернопіль                 0.010384  9.188330e-01   0.122125
reg_Ужгород                   0.720695  3.959159e-01   1.336734
reg_Харків                    0.524156  4.690742e-01   1.092112
reg_Херсон                    0.370290  5.428460e-01   0.881385
reg_Чернівці                  0.149349  6.991578e-01   0.516310
reg_Чернігів                  0.811861  3.675705e-01   1.443907
reg_м. Кривий                 0.008593  9.261428e-01   0.110693
reg_м. Сталіно                1.433692  2.311629e-01   2.113018
